GO	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
seryl-tRNA aminoacylation (GO:0006434)	0	3	0	0	0	0	0	5	0	0	9	7	5	0	4	11	7	9	1	9
threonyl-tRNA aminoacylation (GO:0006435)	0	0	1	0	0	0	1	8	0	0	8	5	8	0	8	8	3	8	5	8
tryptophanyl-tRNA aminoacylation (GO:0006436)	0	0	0	2	0	0	0	3	0	0	6	2	3	0	5	6	0	6	0	6
tyrosyl-tRNA aminoacylation (GO:0006437)	0	0	0	0	0	0	0	1	0	0	6	0	6	0	0	6	4	6	0	6
valyl-tRNA aminoacylation (GO:0006438)	0	0	3	0	0	0	3	0	0	0	9	1	12	1	6	9	8	9	0	9
regulation of translational fidelity (GO:0006450)	0	0	0	0	0	0	0	0	0	0	4	4	4	0	4	0	4	4	0	4
protein folding (GO:0006457)	0	1	2	0	0	0	6	10	0	0	46	3	39	0	43	45	33	48	10	48
cellular protein modification process (GO:0006464)	0	0	0	0	0	0	3	0	0	0	8	0	6	1	4	8	6	9	3	8
signal peptide processing (GO:0006465)	0	0	3	0	0	0	2	0	0	0	4	2	2	0	4	2	4	2	2	2
protein phosphorylation (GO:0006468)	2	1	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0
protein methylation (GO:0006479)	0	1	0	0	0	0	0	0	0	0	4	0	2	0	4	4	1	4	0	4
protein glycosylation (GO:0006486)	0	0	1	0	0	0	2	0	0	0	2	2	2	0	2	0	2	2	0	2
proteolysis (GO:0006508)	0	13	7	1	0	0	28	7	0	0	63	28	64	1	49	75	55	70	13	66
cellular amino acid metabolic process (GO:0006520)	0	2	1	0	0	0	2	2	0	0	21	2	15	0	19	21	14	23	11	23
alanine metabolic process (GO:0006522)	0	0	0	0	0	0	0	0	0	0	11	0	11	0	7	11	10	11	0	11
alanine biosynthetic process (GO:0006523)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	6	1	6	4	6
arginine metabolic process (GO:0006525)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	2	0	1
arginine biosynthetic process (GO:0006526)	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
arginine catabolic process (GO:0006527)	0	0	0	0	0	0	0	1	0	0	12	5	9	0	6	12	6	12	1	12
asparagine metabolic process (GO:0006528)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
asparagine biosynthetic process (GO:0006529)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspartate metabolic process (GO:0006531)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
cysteine metabolic process (GO:0006534)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1
cysteine biosynthetic process from serine (GO:0006535)	0	0	0	0	0	0	0	0	0	0	3	0	2	0	2	2	3	3	0	3
glutamate biosynthetic process (GO:0006537)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutamine metabolic process (GO:0006541)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	2
glutamine biosynthetic process (GO:0006542)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3	3	0	3
glycine catabolic process (GO:0006546)	1	1	3	0	0	0	1	0	0	0	0	0	0	1	2	2	0	0	0	0
S-adenosylmethionine biosynthetic process (GO:0006556)	0	9	3	0	0	0	3	6	0	0	11	6	12	0	6	17	11	12	8	20
proline biosynthetic process (GO:0006561)	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	5	5	5	0	5
proline catabolic process (GO:0006562)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L-serine biosynthetic process (GO:0006564)	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	3	0	3	0	3
threonine metabolic process (GO:0006566)	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3	3	1	3	0	3
tryptophan metabolic process (GO:0006568)	0	0	1	0	0	0	4	3	0	1	11	3	11	0	3	13	8	12	3	12
tryptophan catabolic process (GO:0006569)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrosine biosynthetic process (GO:0006571)	0	0	0	0	0	0	0	0	0	0	2	4	2	0	2	2	2	2	0	2
protein targeting (GO:0006605)	0	2	0	1	0	0	5	6	0	0	17	2	18	0	12	19	10	18	8	17
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	0	3	4	0	0	0	6	0	0	0	22	3	19	0	16	21	19	20	3	20
lipid metabolic process (GO:0006629)	0	0	2	0	0	0	0	4	0	0	13	4	4	0	10	14	13	13	8	13
fatty acid metabolic process (GO:0006631)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fatty acid biosynthetic process (GO:0006633)	0	4	0	0	0	0	8	9	0	0	43	12	35	0	31	40	38	45	15	44
phosphatidic acid biosynthetic process (GO:0006654)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1
glycerol ether metabolic process (GO:0006662)	0	0	0	0	0	2	1	2	0	0	2	0	0	0	2	2	2	2	0	2
sphingolipid metabolic process (GO:0006665)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
steroid biosynthetic process (GO:0006694)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular aromatic compound metabolic process (GO:0006725)	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	3	3	0	3
NADP biosynthetic process (GO:0006741)	0	1	0	0	0	0	0	2	0	0	2	0	1	0	2	2	2	2	1	2
glutathione metabolic process (GO:0006749)	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1
glutathione biosynthetic process (GO:0006750)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
glutathione catabolic process (GO:0006751)	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	1	2	1	2
folic acid-containing compound metabolic process (GO:0006760)	0	1	0	0	0	0	4	0	0	0	2	0	4	0	3	4	3	3	0	4
thiamine metabolic process (GO:0006772)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	2	0	2
Mo-molybdopterin cofactor biosynthetic process (GO:0006777)	0	1	0	0	0	0	1	0	0	0	16	7	15	0	11	16	11	17	1	17
porphyrin-containing compound biosynthetic process (GO:0006779)	0	1	6	0	0	8	0	0	0	0	8	0	10	0	7	9	6	11	1	11
uroporphyrinogen III biosynthetic process (GO:0006780)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1
heme biosynthetic process (GO:0006783)	0	2	0	0	0	0	3	0	0	0	5	0	5	0	4	5	3	5	0	5
phosphate-containing compound metabolic process (GO:0006796)	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	6	5	6	0	6
polyphosphate biosynthetic process (GO:0006799)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	4	1	4	0	4
superoxide metabolic process (GO:0006801)	0	0	0	0	0	0	6	4	0	2	6	0	3	0	2	8	8	8	0	8
nitrogen compound metabolic process (GO:0006807)	1	3	7	2	0	0	8	9	0	0	47	19	40	0	29	53	41	46	7	47
regulation of nitrogen utilization (GO:0006808)	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cation transport (GO:0006812)	0	5	1	0	0	0	1	2	0	0	11	4	11	0	8	11	4	12	0	12
potassium ion transport (GO:0006813)	0	0	0	0	0	0	2	0	2	2	10	2	10	1	6	10	10	13	0	10
sodium ion transport (GO:0006814)	0	0	0	0	0	0	0	4	0	0	15	3	19	2	9	21	10	15	6	15
phosphate ion transport (GO:0006817)	0	0	0	0	0	0	2	2	0	0	2	0	6	0	4	2	4	2	0	2
chloride transport (GO:0006821)	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cobalt ion transport (GO:0006824)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
copper ion transport (GO:0006825)	0	0	0	0	0	0	3	0	0	0	5	0	5	0	5	5	0	5	0	5
iron ion transport (GO:0006826)	0	0	0	0	0	0	0	0	1	0	3	0	3	0	1	3	3	3	0	3
amino acid transport (GO:0006865)	0	0	0	0	0	0	2	0	0	0	4	0	5	0	1	5	2	5	0	5
cellular copper ion homeostasis (GO:0006878)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular iron ion homeostasis (GO:0006879)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
regulation of pH (GO:0006885)	0	0	0	0	0	0	0	0	0	0	4	3	4	2	4	5	1	4	0	4
intracellular protein transport (GO:0006886)	0	0	1	1	0	0	1	6	0	0	15	1	15	0	13	17	9	16	8	15
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemotaxis (GO:0006935)	0	16	0	0	0	0	3	11	0	0	47	9	37	0	32	46	43	48	17	51
defense response (GO:0006952)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to DNA damage stimulus (GO:0006974)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
response to oxidative stress (GO:0006979)	0	2	18	0	0	0	6	6	0	0	13	0	13	0	12	19	13	12	9	13
plasma membrane organization (GO:0007009)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
microtubule-based process (GO:0007017)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mitotic sister chromatid cohesion (GO:0007064)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell adhesion (GO:0007155)	0	6	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	4	1	1
signal transduction (GO:0007165)	0	32	22	0	0	0	9	12	0	0	42	10	33	0	41	51	34	49	14	52
G protein-coupled receptor signaling pathway (GO:0007186)	30	0	38	12	11	11	8	16	8	4	0	23	15	14	8	4	8	25	4	26
visual perception (GO:0007601)	4	0	5	0	4	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0
tRNA processing (GO:0008033)	0	2	3	0	0	0	8	1	0	0	20	0	20	0	10	18	13	23	2	23
enzyme activator activity (GO:0008047)	0	0	0	0	0	0	0	7	0	0	5	0	8	0	8	8	8	11	8	8
N-acetyltransferase activity (GO:0008080)	0	0	4	0	0	0	2	2	0	0	2	0	4	0	8	2	2	3	2	2
phosphoric diester hydrolase activity (GO:0008081)	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ATPase, acting on DNA (GO:0008094)	0	0	0	0	0	0	0	0	1	0	5	1	4	0	2	5	5	4	0	8
5S rRNA binding (GO:0008097)	0	0	0	0	0	0	0	1	0	0	4	3	4	0	4	4	4	4	3	4
galactoside 2-alpha-L-fucosyltransferase activity (GO:0008107)	0	0	0	0	0	0	2	0	0	0	2	2	2	0	1	2	2	2	0	2
peptide-methionine (S)-S-oxide reductase activity (GO:0008113)	0	0	0	0	0	0	3	4	0	0	5	0	5	0	5	5	3	5	5	5
ubiquinol-cytochrome-c reductase activity (GO:0008121)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
transcription factor binding (GO:0008134)	0	0	4	0	0	0	1	2	0	0	2	0	4	0	3	2	3	2	0	4
NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2	0	7	0	0	0	3	2	0	0	16	6	22	3	14	21	17	21	1	21
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein phosphatase 1 binding (GO:0008157)	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
methyltransferase activity (GO:0008168)	9	9	8	2	0	0	17	12	0	0	90	6	73	0	52	75	45	96	17	82
N-methyltransferase activity (GO:0008170)	0	0	3	0	0	0	21	9	0	0	51	6	49	0	35	46	38	55	8	73
RNA methyltransferase activity (GO:0008173)	0	0	2	3	0	0	1	0	0	0	3	0	2	0	1	6	1	4	0	4
tRNA (guanine-N7-)-methyltransferase activity (GO:0008176)	0	0	0	0	0	0	0	0	0	0	5	0	5	0	5	4	3	6	4	5
COP9 signalosome (GO:0008180)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycogen phosphorylase activity (GO:0008184)	0	0	4	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
ATPase, acting on RNA (GO:0008186)	0	0	0	0	0	0	1	1	0	0	4	1	3	0	3	3	3	3	0	3
ferrous iron binding (GO:0008198)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ferric iron binding (GO:0008199)	0	0	1	0	0	0	1	0	0	0	3	0	3	0	3	3	3	3	0	3
peptidase activity (GO:0008233)	0	1	0	0	0	0	0	9	0	0	13	1	17	0	15	15	14	19	9	16
cysteine-type peptidase activity (GO:0008234)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
serine-type peptidase activity (GO:0008236)	0	1	1	1	0	0	5	0	0	0	8	4	5	0	4	11	6	10	0	9
metallopeptidase activity (GO:0008237)	0	2	0	0	0	0	1	0	0	0	1	1	1	0	1	2	1	1	1	1
dipeptidyl-peptidase activity (GO:0008239)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
nucleotidase activity (GO:0008252)	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	0	2
zinc ion binding (GO:0008270)	1	5	13	0	0	0	10	3	0	0	29	10	27	0	27	25	24	26	8	27
secondary active sulfate transmembrane transporter activity (GO:0008271)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfate transport (GO:0008272)	0	0	1	0	0	0	1	1	0	0	2	0	2	2	1	2	1	2	0	2
protein methyltransferase activity (GO:0008276)	0	1	0	0	0	0	0	0	0	0	4	0	2	0	4	4	1	4	0	4
spermidine biosynthetic process (GO:0008295)	0	0	0	0	0	0	0	1	0	0	12	5	9	0	6	12	6	12	1	12
isoprenoid biosynthetic process (GO:0008299)	0	0	1	0	0	0	1	2	0	0	9	1	8	0	10	13	8	11	0	11
7S RNA binding (GO:0008312)	0	0	1	0	0	0	0	0	0	0	3	3	3	0	3	3	3	3	0	3
protein transmembrane transporter activity (GO:0008320)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
cation transmembrane transporter activity (GO:0008324)	0	3	0	0	0	0	0	0	0	0	5	0	8	0	2	6	5	7	0	6
regulation of cell shape (GO:0008360)	0	1	0	0	3	0	1	0	0	0	7	1	3	0	3	5	3	7	2	7
thioredoxin peroxidase activity (GO:0008379)	0	0	0	0	0	0	0	1	1	0	2	0	3	0	1	1	0	1	0	2
3'-5' exonuclease activity (GO:0008408)	1	2	0	0	0	0	4	7	0	0	6	5	6	0	6	10	10	7	1	7
5'-3' exonuclease activity (GO:0008409)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1
CoA-transferase activity (GO:0008410)	0	0	3	0	0	0	0	3	0	0	11	2	10	0	3	10	10	10	0	10
fucosyltransferase activity (GO:0008417)	0	0	0	0	0	0	2	0	0	0	2	2	2	0	2	0	2	2	0	2
CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity (GO:0008444)	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	2	0	2	0	2
GDP-mannose 4,6-dehydratase activity (GO:0008446)	0	0	0	0	0	0	2	0	0	0	3	0	2	0	2	2	2	3	1	3
N-acetylglucosamine-6-phosphate deacetylase activity (GO:0008448)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNA ligase activity (GO:0008452)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
queuine tRNA-ribosyltransferase activity (GO:0008479)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	1	2	0	2
transaminase activity (GO:0008483)	0	0	1	0	0	0	3	0	2	0	7	5	8	0	4	8	9	7	2	9
sulfuric ester hydrolase activity (GO:0008484)	0	1	3	0	0	0	0	0	0	0	6	0	5	0	3	5	3	2	2	7
organic anion transmembrane transporter activity (GO:0008514)	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ammonium transmembrane transporter activity (GO:0008519)	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
riboflavin kinase activity (GO:0008531)	0	0	0	0	0	0	4	0	0	0	6	0	5	0	4	5	4	6	0	6
P-type potassium transmembrane transporter activity (GO:0008556)	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0
lipid biosynthetic process (GO:0008610)	0	0	0	0	0	0	2	0	0	0	5	0	7	0	7	6	7	7	0	7
pyridoxine biosynthetic process (GO:0008615)	0	0	0	0	0	0	3	0	0	0	5	0	4	0	7	5	4	6	3	6
queuosine biosynthetic process (GO:0008616)	0	0	0	0	0	0	1	0	0	0	4	3	1	0	4	4	4	4	1	4
ubiquitin-like modifier activating enzyme activity (GO:0008641)	0	0	0	0	0	0	1	1	0	0	3	0	2	0	1	3	2	2	0	2
carbohydrate transport (GO:0008643)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
rRNA methyltransferase activity (GO:0008649)	0	0	0	0	0	0	1	3	0	0	5	0	4	0	5	3	3	7	0	7
cellular amino acid biosynthetic process (GO:0008652)	0	1	0	1	0	0	0	0	0	0	3	0	3	0	2	3	4	3	1	3
phospholipid biosynthetic process (GO:0008654)	0	2	1	0	0	0	3	1	0	0	21	4	21	0	14	20	12	23	2	23
penicillin binding (GO:0008658)	0	1	2	0	0	0	3	3	0	0	9	4	7	0	9	9	6	9	4	9
1-deoxy-D-xylulose-5-phosphate synthase activity (GO:0008661)	0	0	0	0	0	0	0	3	0	0	5	0	5	0	6	7	4	5	0	5
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity (GO:0008666)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity (GO:0008667)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
3-deoxy-8-phosphooctulonate synthase activity (GO:0008676)	0	1	0	0	0	0	1	1	0	0	3	0	1	0	3	3	3	3	1	3
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity (GO:0008685)	0	0	0	0	0	0	0	0	0	0	8	0	8	0	0	8	8	8	5	8
3,4-dihydroxy-2-butanone-4-phosphate synthase activity (GO:0008686)	0	0	0	1	0	0	0	0	0	0	3	0	4	0	2	1	2	3	0	3
3-deoxy-manno-octulosonate cytidylyltransferase activity (GO:0008690)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	1	0	3	0	3
methionine synthase activity (GO:0008705)	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP-glyceromanno-heptose 6-epimerase activity (GO:0008712)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
CDP-diacylglycerol diphosphatase activity (GO:0008715)	0	0	0	0	0	0	0	1	0	0	4	0	1	0	2	2	1	4	0	4
D-alanine-D-alanine ligase activity (GO:0008716)	0	0	0	0	0	0	1	1	0	0	2	0	2	0	2	1	0	4	1	2
DNA-3-methyladenine glycosylase activity (GO:0008725)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L-aspartate oxidase activity (GO:0008734)	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
N-acetylmuramoyl-L-alanine amidase activity (GO:0008745)	0	0	0	0	0	0	0	0	0	0	5	0	3	0	2	5	2	3	0	3
S-adenosylmethionine-dependent methyltransferase activity (GO:0008757)	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity (GO:0008759)	0	0	0	0	0	0	0	0	0	0	6	0	6	0	6	6	6	6	0	6
UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity (GO:0008760)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	3	3	0	3
UDP-N-acetylglucosamine 2-epimerase activity (GO:0008761)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
UDP-N-acetylmuramate dehydrogenase activity (GO:0008762)	0	0	1	0	0	0	0	0	0	0	6	6	6	0	0	6	6	6	6	6
UDP-N-acetylmuramate-L-alanine ligase activity (GO:0008763)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1
UDP-N-acetylmuramoylalanine-D-glutamate ligase activity (GO:0008764)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	2
[protein-PII] uridylyltransferase activity (GO:0008773)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity (GO:0008780)	0	0	0	0	0	0	1	0	0	0	3	0	5	0	5	4	5	5	0	5
adenosylhomocysteine nucleosidase activity (GO:0008782)	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
alanine racemase activity (GO:0008784)	0	0	0	0	0	0	0	0	0	0	11	0	11	0	7	11	10	11	0	11
arginine decarboxylase activity (GO:0008792)	0	0	0	0	0	0	0	1	0	0	12	5	9	0	6	12	6	12	1	12
NAD+ synthase activity (GO:0008795)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1
aspartate ammonia-lyase activity (GO:0008797)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
carbamate kinase activity (GO:0008804)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
cob(I)yrinic acid a,c-diamide adenosyltransferase activity (GO:0008817)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cobalamin 5'-phosphate synthase activity (GO:0008818)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
crossover junction endodeoxyribonuclease activity (GO:0008821)	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1
dCTP deaminase activity (GO:0008829)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	2	0	2
dGTPase activity (GO:0008832)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
diaminohydroxyphosphoribosylaminopyrimidine deaminase activity (GO:0008835)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
diaminopimelate decarboxylase activity (GO:0008836)	0	0	0	0	0	0	0	0	0	0	7	2	7	0	5	7	7	7	0	7
diaminopimelate epimerase activity (GO:0008837)	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6	3	4	6	0	6
4-hydroxy-tetrahydrodipicolinate reductase (GO:0008839)	0	0	0	0	0	0	0	1	0	0	8	0	4	0	1	5	7	7	0	7
4-hydroxy-tetrahydrodipicolinate synthase activity (GO:0008840)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	1	2	2	3	2	3
exodeoxyribonuclease VII activity (GO:0008855)	0	0	2	0	0	1	0	0	4	0	9	2	8	0	4	9	4	8	5	8
formate dehydrogenase (NAD+) activity (GO:0008863)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
formyltetrahydrofolate deformylase activity (GO:0008864)	0	0	0	0	0	0	0	0	0	0	8	0	8	0	6	9	5	9	0	9
glucose-1-phosphate adenylyltransferase activity (GO:0008878)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucose-1-phosphate thymidylyltransferase activity (GO:0008879)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutamate racemase activity (GO:0008881)	0	0	0	0	0	0	1	0	0	0	3	1	2	0	2	2	2	3	0	3
[glutamate-ammonia-ligase] adenylyltransferase activity (GO:0008882)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutamyl-tRNA reductase activity (GO:0008883)	0	0	0	0	0	0	0	0	0	0	12	3	7	0	7	9	9	9	2	9
glycerate kinase activity (GO:0008887)	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycolate oxidase activity (GO:0008891)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
holo-[acyl-carrier-protein] synthase activity (GO:0008897)	0	4	0	0	0	0	0	5	0	0	6	0	5	0	6	6	6	6	0	6
ferredoxin hydrogenase activity (GO:0008901)	0	0	0	0	0	0	0	0	0	0	6	3	3	0	6	5	6	5	1	5
lipid-A-disaccharide synthase activity (GO:0008915)	0	0	2	2	0	0	0	3	0	0	5	0	3	0	4	6	3	5	0	6
lipopolysaccharide heptosyltransferase activity (GO:0008920)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
malate dehydrogenase (quinone) activity (GO:0008924)	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	0	3
methylthioadenosine nucleosidase activity (GO:0008930)	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
1,4-dihydroxy-2-naphthoyl-CoA synthase activity (GO:0008935)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate reductase activity (GO:0008940)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity (GO:0008961)	0	0	0	0	0	0	4	0	0	1	5	1	5	0	3	6	6	5	0	5
phosphatidylglycerophosphatase activity (GO:0008962)	0	0	0	0	0	0	0	0	0	0	3	0	3	0	3	3	3	3	2	3
phospho-N-acetylmuramoyl-pentapeptide-transferase activity (GO:0008963)	0	2	0	2	0	0	3	3	0	0	8	1	5	2	5	8	7	7	0	7
phosphoenolpyruvate carboxylase activity (GO:0008964)	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
phosphoglucosamine mutase activity (GO:0008966)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	1	0	3
D-sedoheptulose 7-phosphate isomerase activity (GO:0008968)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	2	2	0	2
phosphomethylpyrimidine kinase activity (GO:0008972)	0	0	0	0	0	0	1	0	0	0	3	0	4	0	2	4	3	4	0	3
phosphopentomutase activity (GO:0008973)	0	0	0	0	0	0	0	1	0	0	7	2	7	0	4	5	7	7	0	7
polyphosphate kinase activity (GO:0008976)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	4	1	4	0	4
prephenate dehydrogenase (NAD+) activity (GO:0008977)	0	0	0	0	0	0	0	0	0	0	2	4	2	0	2	2	2	2	0	2
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity (GO:0008982)	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	11	0	0	0	1
