IPR	X210222Fox_D21.2140	X210222Fox_D21.2141	X210222Fox_D21.2142	X210222Fox_D21.2143	X210222Fox_D21.2144	X210222Fox_D21.2145	X210222Fox_D21.2146	X210222Fox_D21.2147	X210713Fox_D21.6682	X210713Fox_D21.6683	X210713Fox_D21.6684	X210713Fox_D21.6685	X210713Fox_D21.6686	X210713Fox_D21.6687	X210713Fox_D21.6688	X210713Fox_D21.6689	X210713Fox_D21.6690	X210713Fox_D21.6691	X210713Fox_D21.6692	X210713Fox_D21.6693
Double-stranded RNA-binding domain (IPR014720)	0	0	0	2	0	0	0	0	0	0	3	0	3	0	3	3	3	3	3	3
"Ribosomal protein S5 domain 2-type fold, subgroup (IPR014721)"	0	1	1	0	0	0	0	2	0	0	12	2	12	0	9	10	10	12	3	10
"Ribosomal protein L2, domain 2 (IPR014722)"	0	1	0	0	0	0	1	0	0	0	4	0	4	0	4	4	4	4	2	4
"RNA polymerase Rpb2, OB-fold (IPR014724)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Ribosomal protein L2, domain 3 (IPR014726)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
Rossmann-like alpha/beta/alpha sandwich fold (IPR014729)	1	2	9	3	2	0	10	6	1	1	29	7	33	3	28	37	30	29	7	27
"Electron transfer flavoprotein, alpha/beta-subunit, N-terminal (IPR014730)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Electron transfer flavoprotein, alpha subunit, C-terminal (IPR014731)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Orotidine 5'-phosphate decarboxylase (IPR014732)	0	0	0	0	0	0	0	2	0	0	2	0	3	0	1	3	2	2	0	3
"Chloride channel, core (IPR014743)"	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glutamine synthetase/guanido kinase, catalytic domain (IPR014746)"	0	2	0	0	0	0	0	0	0	0	2	2	3	0	2	5	2	2	1	2
"Enoyl-CoA hydratase, C-terminal (IPR014748)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Immunoglobulin E-set (IPR014756)	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0
"Transcription regulator IclR, C-terminal (IPR014757)"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methionyl-tRNA synthetase (IPR014758)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
KaiC-like domain (IPR014774)	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
"Tetrapyrrole methylase, subdomain 2 (IPR014776)"	1	0	1	0	0	0	1	0	0	0	2	0	2	0	1	1	1	1	0	1
"Tetrapyrrole methylase, subdomain 1 (IPR014777)"	2	0	1	0	0	0	0	0	0	0	1	0	2	0	1	1	1	1	1	1
"tRNA pseudouridine synthase II, TruB (IPR014780)"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Peptidase M1, membrane alanine aminopeptidase (IPR014782)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14 (IPR014816)	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0
TrwC relaxase (IPR014862)	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"Transcription factor, NikR, nickel binding C-terminal (IPR014864)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"THAP4-like, heme-binding beta-barrel domain (IPR014878)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VRR-NUC domain (IPR014883)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1
"Nucleotidyl transferase AbiEii toxin, Type IV TA system (IPR014942)"	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	2	0	2
Protein of unknown function DUF1905 (IPR015018)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Domain of unknown function DUF1882 (IPR015061)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
Protein of unknown function DUF1887 (IPR015093)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"Cag pathogenicity island protein, CagZ (IPR015139)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	1
SsuA/THI5-like (IPR015168)	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyclomaltodextrinase, N-terminal (IPR015171)"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Antimicrobial protein MiAMP1 (IPR015201)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATPase MipZ (IPR015223)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Cysteinyl-tRNA synthetase, class Ia, DALR (IPR015273)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
"Restriction endonuclease, type II, EcoRV (IPR015314)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Glycoside hydrolase family 38, central domain (IPR015341)"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"Elongation factor P, C-terminal (IPR015365)"	0	0	0	0	0	0	3	0	0	0	2	0	3	0	3	3	3	3	0	3
SurA N-terminal (IPR015391)	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1
Methionyl/Leucyl tRNA synthetase (IPR015413)	0	0	0	0	0	0	1	0	0	0	2	1	3	1	3	4	3	3	0	3
Transmembrane protein TMEM64 (IPR015414)	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pyridoxal phosphate-dependent transferase, major domain (IPR015421)"	1	3	10	0	0	0	8	6	1	2	14	9	18	3	18	18	14	12	3	14
"Pyridoxal phosphate-dependent transferase, small domain (IPR015422)"	0	6	4	0	0	0	6	5	1	1	13	1	12	0	15	13	11	12	4	12
Pyridoxal phosphate-dependent transferase (IPR015424)	1	7	12	0	0	0	11	8	1	2	17	8	22	2	22	21	18	13	7	15
"Peptidase S8, subtilisin-related (IPR015500)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Deoxycytidylate deaminase-related (IPR015517)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Aldehyde dehydrogenase domain (IPR015590)	2	4	10	0	0	1	3	0	0	0	1	0	1	1	1	1	1	2	2	1
Uracil DNA glycosylase family 2 (IPR015637)	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Proline oxidase family (IPR015659)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"DNA-directed RNA polymerase, subunit 2 (IPR015712)"	0	0	0	0	0	0	1	2	0	0	2	3	1	0	4	2	3	1	3	1
Translation initiation factor IF- 2 (IPR015760)	0	0	1	0	0	0	1	1	0	0	1	1	1	0	2	1	3	2	1	1
"Pyruvate kinase, barrel (IPR015793)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pyruvate kinase, C-terminal (IPR015795)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Impact family, bacterial/archaeal (IPR015796)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1
NUDIX hydrolase-like domain superfamily (IPR015797)	0	1	0	1	0	0	1	1	0	1	2	1	2	0	1	3	2	2	0	2
Cysteine-tRNA ligase (IPR015803)	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	2	0	2
Histidine-tRNA ligase (IPR015807)	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	2
Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily (IPR015813)	0	3	2	1	0	0	3	0	1	0	3	3	3	0	5	3	3	2	0	2
3-hydroxyisobutyrate dehydrogenase-related (IPR015815)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
"Phosphoglycerate kinase, N-terminal (IPR015824)"	0	0	0	0	0	0	0	1	0	0	2	2	3	0	3	2	2	2	2	2
"Exoribonuclease, phosphorolytic domain 2 (IPR015847)"	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	2	1	2
"Polyribonucleotide nucleotidyltransferase, RNA-binding domain (IPR015848)"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
"ABC transporter, CbiO/EcfA subunit (IPR015856)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAD synthetase (IPR015864)	0	0	0	0	0	0	1	0	0	2	2	0	0	0	1	1	1	3	0	2
"Riboflavin kinase domain, bacterial/eukaryotic (IPR015865)"	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	2	2	0	2
"Serine-tRNA synthetase, type1, N-terminal (IPR015866)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	1	1	0	1
"Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal (IPR015867)"	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	1	0	1
"Transcription antitermination protein, NusG, bacteria, conserved site (IPR015869)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1
"UDP-3-O-acyl N-acetylglucosamine deacetylase, N-terminal (IPR015870)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"IMP dehydrogenase / GMP reductase, conserved site (IPR015875)"	0	0	0	0	1	0	0	0	0	0	2	1	2	0	3	2	2	2	0	2
"Aromatic-ring-hydroxylating dioxygenase, 2Fe-2S-binding site (IPR015881)"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glycoside hydrolase family 20, catalytic domain (IPR015883)"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Malic enzyme, conserved site (IPR015884)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DNA glycosylase/AP lyase, H2TH DNA-binding (IPR015886)"	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
"DNA glycosylase/AP lyase, zinc finger domain, DNA-binding site (IPR015887)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Intradiol ring-cleavage dioxygenase, core (IPR015889)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"Chorismate-utilising enzyme, C-terminal (IPR015890)"	1	0	1	0	0	0	0	2	0	0	2	2	3	1	2	3	3	2	1	2
"Carbonic anhydrase, prokaryotic-like, conserved site (IPR015892)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1
"Glutamyl-tRNA reductase, N-terminal (IPR015895)"	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	1	1	0	1
"Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, dimerisation domain (IPR015896)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
"Phosphoglycerate kinase, conserved site (IPR015911)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
Cadherin-like superfamily (IPR015919)	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptidase S24/S26A/S26B/S26C (IPR015927)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aconitase/3-isopropylmalate dehydratase, swivel (IPR015928)"	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	2	1	2	1	1
"Aconitase B, swivel (IPR015929)"	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	2	2	3	1	2
"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3 (IPR015931)"	1	1	1	0	0	0	0	0	0	1	2	1	2	0	2	3	2	2	2	3
"Aconitase, domain 2 (IPR015932)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Aconitase B, HEAT-like domain (IPR015933)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
"Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal (IPR015939)"	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	2
Asp/Glu/hydantoin racemase (IPR015942)	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
WD40/YVTN repeat-like-containing domain superfamily (IPR015943)	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1
"Glycine-tRNA ligase, beta subunit (IPR015944)"	0	0	0	0	0	0	3	0	0	0	9	0	13	0	12	9	8	9	0	9
"K homology domain-like, alpha/beta (IPR015946)"	0	2	1	0	0	0	4	1	0	0	9	0	7	1	6	8	4	8	3	9
PUA-like superfamily (IPR015947)	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	4	1	1	0	1
"Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal (IPR015955)"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0
"Uridylate kinase, bacteria (IPR015963)"	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	3	3	3	0	3
"Recombination protein RecR, conserved site (IPR015967)"	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1
Uncharacterised hydrolase TatD-type (IPR015991)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"CDP-diacylglycerol pyrophosphatase, proteobacterial (IPR015993)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
"Phosphoenolpyruvate carboxykinase (ATP), conserved site (IPR015994)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA methyltransferase TRMD/TRM10-type domain (IPR016009)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	0	1
 (IPR016021)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Armadillo-type fold (IPR016024)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
"Signal transduction response regulator, C-terminal effector (IPR016032)"	0	4	0	0	0	0	0	0	0	0	3	0	4	1	3	3	3	3	2	3
Acyl transferase/acyl hydrolase/lysophospholipase (IPR016035)	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	2	1
"Malonyl-CoA ACP transacylase, ACP-binding (IPR016036)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1
3-dehydroquinate synthase AroB (IPR016037)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	2
Thiolase-like (IPR016039)	0	4	4	0	2	0	2	9	0	2	9	5	9	0	14	13	15	11	8	11
NAD(P)-binding domain (IPR016040)	1	1	0	0	0	0	3	1	0	0	2	0	1	0	2	2	1	2	2	3
Peptidase M23 (IPR016047)	0	0	1	0	0	0	1	1	0	0	4	0	2	0	2	4	3	4	1	4
"Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III (IPR016055)"	0	1	0	0	0	0	0	1	0	0	6	1	6	1	4	7	6	7	3	6
NAD kinase/diacylglycerol kinase-like domain superfamily (IPR016064)	0	1	0	0	0	0	1	1	0	0	1	0	1	0	2	1	1	1	1	1
"Alpha-D-phosphohexomutase, conserved site (IPR016066)"	0	1	0	0	0	0	0	1	0	0	2	0	2	0	0	1	2	2	1	2
"Haem oxygenase-like, multi-helical (IPR016084)"	0	0	0	0	0	0	0	2	0	0	2	0	5	0	4	2	2	2	2	2
"Ribosomal protein L1, 3-layer alpha/beta-sandwich (IPR016095)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1
"Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal (IPR016098)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
Succinyl-CoA synthetase-like (IPR016102)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ArgJ-like domain superfamily (IPR016117)	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Signal transduction histidine kinase, sporulation regulator SpoOB (IPR016120)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"Peptidase C15, pyroglutamyl peptidase I-like (IPR016125)"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Protein-tyrosine phosphatase, active site (IPR016130)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Insect cysteine-rich antifreeze protein (IPR016133)	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
"DNA helicase DnaB, N-terminal/DNA primase DnaG, C-terminal (IPR016136)"	0	0	1	0	0	0	1	1	0	0	2	0	2	0	3	2	2	2	1	2
"Citrate synthase-like, large alpha subdomain (IPR016142)"	1	2	0	0	0	0	1	1	0	0	2	1	1	1	0	1	1	1	1	1
"Citrate synthase-like, small alpha subdomain (IPR016143)"	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"DNA mismatch repair protein MutS, N-terminal (IPR016151)"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphotransferase/anion transporter (IPR016152)	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0
"Heat shock protein Hsp33, N-terminal (IPR016153)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp (IPR016155)"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1
"FAD/NAD-linked reductase, dimerisation domain superfamily (IPR016156)"	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aldehyde dehydrogenase, cysteine active site (IPR016160)"	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	2	0	1
Aldehyde/histidinol dehydrogenase (IPR016161)	2	6	11	0	1	1	4	0	0	0	1	1	1	1	2	2	2	2	2	1
"Aldehyde dehydrogenase, N-terminal (IPR016162)"	1	5	8	0	1	1	3	0	0	0	1	1	1	0	2	2	1	2	1	1
"Aldehyde dehydrogenase, C-terminal (IPR016163)"	2	3	4	0	0	0	1	0	0	0	1	0	1	1	2	1	1	2	1	1
"FAD-linked oxidase-like, C-terminal (IPR016164)"	0	1	2	0	0	0	1	1	0	0	2	0	2	0	4	2	3	2	2	3
"FAD-binding domain, PCMH-type (IPR016166)"	0	0	1	0	0	0	0	0	0	1	2	0	1	0	2	2	2	2	0	2
"FAD-binding, type PCMH, subdomain 1 (IPR016167)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1
"FAD-binding, type PCMH, subdomain 2 (IPR016169)"	0	1	2	0	0	0	0	0	0	1	4	1	3	0	5	5	4	4	2	4
"Vanillyl-alcohol oxidase, C-terminal subdomain 2 (IPR016171)"	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	2	2	2	0	2
"Di-haem cytochrome, transmembrane (IPR016174)"	0	0	0	0	0	0	0	2	0	0	2	2	2	0	2	3	2	3	0	2
"Cobalamin (vitamin B12)-dependent enzyme, catalytic (IPR016176)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Ribosomal protein L10e/L16 (IPR016180)	0	0	0	0	0	0	2	0	0	0	2	0	2	0	2	2	2	2	2	2
Acyl-CoA N-acyltransferase (IPR016181)	0	2	2	0	0	0	1	2	0	0	3	1	3	1	6	3	3	4	1	3
"Capsid/spike protein, ssDNA virus (IPR016184)"	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Pre-ATP-grasp domain superfamily (IPR016185)	0	0	1	0	0	0	1	1	0	0	6	2	7	0	4	7	6	7	5	7
"PurM-like, N-terminal domain (IPR016188)"	0	0	1	0	0	0	0	1	0	0	1	0	2	0	1	2	0	1	0	1
Cytidine deaminase-like (IPR016193)	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	2	1	1	0	2
Polymerase/histidinol phosphatase-like (IPR016195)	0	1	0	0	0	0	1	2	0	0	1	0	1	0	2	1	3	1	0	1
Homoserine dehydrogenase (IPR016204)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
Aldehyde oxidase/xanthine dehydrogenase (IPR016208)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nitrogen fixation, NifU (IPR016217)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
"Dihydropteroate synthase, predicted (IPR016227)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1
"Arsenical pump ATPase, ArsA/GET3 (IPR016300)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Endoribonuclease VapD (IPR016368)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
C-protein (IPR016407)	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial (IPR016425)"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
Flavin oxidoreductase Frp family (IPR016446)	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cysteine desulfurase (IPR016454)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1
GTP-binding protein EngA (IPR016484)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	3
GTPase HflX (IPR016496)	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncharacterised conserved protein UCP007248 (IPR016511)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1
"Alpha-(1, 3)-fucosyltransferase/alpha-(1, 4)-fucosyltransferase, Helicobacter (IPR016646)"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1
Uncharacterised conserved protein UCP018688 (IPR016732)	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	2	2	2	0	2
Acetophenone carboxylase beta subunit/Acetone carboxylase gamma subunit (IPR016750)	0	0	0	0	0	0	1	0	0	0	2	0	2	0	2	2	2	2	0	2
"NADPH-dependent 7-cyano-7-deazaguanine reductase, QueF type 1 (IPR016856)"	0	0	0	0	0	0	0	0	0	0	3	2	0	0	3	3	3	3	0	3
Phosphatase PHOSPHO-type (IPR016965)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Virulence factor BrkB (IPR017039)	0	2	0	0	0	0	0	0	0	0	4	0	4	0	6	3	3	4	0	4
"Ribosomal protein L3-specific, glutamine-N5-methyltransferase (IPR017127)"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biopolymer transport ExbB-like protein 1 (IPR017269)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
"NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex subunit 1 (IPR017384)"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP-NAD kinase, PpnK-type, C-terminal (IPR017437)"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1
"Inorganic polyphosphate/ATP-NAD kinase, N-terminal (IPR017438)"	0	1	0	0	0	0	0	1	0	0	1	0	1	0	2	1	1	1	1	1
Amidohydrolase (IPR017439)	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"GPCR, rhodopsin-like, 7TM (IPR017452)"	1	0	4	1	0	1	0	0	0	0	0	0	1	0	1	1	1	2	1	1
"CTP synthase, N-terminal (IPR017456)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	2	2	2	2
"Glycosyl transferase family 3, N-terminal domain (IPR017459)"	0	0	0	1	0	0	1	0	0	0	1	1	1	0	2	1	1	1	0	1
UDP-glucose/GDP-mannose dehydrogenase (IPR017476)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQQ-dependent membrane bound dehydrogenase (IPR017511)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytochrome c-type biogenesis protein CcsA (IPR017562)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] synthase 2 (IPR017568)	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	2	0	2
"Flagella basal body P-ring formation protein FlgA, C-terminal (IPR017585)"	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	2	2	2	0	2
Pyruvate dehydrogenase E1 component subunit alpha/BCKADH E1-alpha (IPR017596)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Guanylate kinase (IPR017665)	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	2
Outer membrane protein assembly factor BamD (IPR017689)	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	2	0	2
YgfZ/GcvT conserved site (IPR017703)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribonuclease Y (IPR017705)	0	0	1	0	0	0	1	1	0	0	3	1	2	0	2	2	3	3	1	3
Cellulose synthase operon protein BcsQ (IPR017746)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"Cysteine desulfurase NifS, proteobacteria (IPR017773)"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1
Penicillin-binding protein 2 (IPR017790)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1
"Alkaline-phosphatase-like, core domain superfamily (IPR017850)"	0	2	8	0	0	0	0	4	0	0	18	2	15	0	12	16	11	8	6	15
Glycoside hydrolase superfamily (IPR017853)	2	6	10	1	0	0	3	0	1	1	0	0	1	3	0	9	0	1	0	1
"Integrase-like, N-terminal (IPR017856)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	2
"Peptidase M22, conserved site (IPR017860)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1
Kae1/TsaD family (IPR017861)	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	7	0	9	2	7
"ABC transporter-like, conserved site (IPR017871)"	1	1	1	0	0	0	1	1	0	0	12	1	12	0	11	11	9	17	3	17
"4Fe-4S ferredoxin-type, iron-sulphur binding domain (IPR017896)"	0	0	0	0	0	0	6	8	0	0	24	3	22	0	18	23	23	24	4	27
"4Fe-4S ferredoxin, iron-sulphur binding, conserved site (IPR017900)"	0	0	0	0	0	0	2	4	0	0	12	3	11	0	8	12	11	12	2	13
"MacB, ATP-binding domain (IPR017911)"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1
Glutamine amidotransferase (IPR017926)	0	0	1	0	0	0	1	1	0	0	5	2	6	0	4	5	5	6	1	4
Glutamine amidotransferase type 2 domain (IPR017932)	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2	3	1	1
"Thioredoxin, conserved site (IPR017937)"	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	2	1	1	0	1
Riboflavin synthase-like beta-barrel (IPR017938)	0	2	0	0	0	0	1	0	0	0	2	1	2	0	2	4	2	2	0	2
