Species	Sample	HP	16s	metagenome
E4$Fructilactobacillus	E4	Hp-positive	0	0
E4$Fusicatenibacter	E4	Hp-positive	0	0
E4$Fusobacterium	E4	Hp-positive	0.626823457	0.030105714
E4$Galbibacter	E4	Hp-positive	0	0
E4$Gallibacterium	E4	Hp-positive	0.015288377	0
E4$Gallionella	E4	Hp-positive	0	0
E4$Gardnerella	E4	Hp-positive	0	0.015482939
E4$GCA-900066575	E4	Hp-positive	0	0
E4$Geitlerinema_sp._PCC_7407	E4	Hp-positive	0	0
E4$Gemella	E4	Hp-positive	0.043317068	0
E4$Gemella_haemolysans	E4	Hp-positive	0	0
E4$Gemella_morbillorum	E4	Hp-positive	0	0
E4$Gemella_sanguinis	E4	Hp-positive	0	0
E4$Gemella_sp._zg-570	E4	Hp-positive	0	0
E4$Geminocystis_herdmanii	E4	Hp-positive	0	0
E4$Geminocystis_sp._NIES-3708	E4	Hp-positive	0	0
E4$Geminocystis_sp._NIES-3709	E4	Hp-positive	0	0
E4$Gemmata	E4	Hp-positive	0	0
E4$Gemmatirosa	E4	Hp-positive	0	0
E4$Gemmobacter	E4	Hp-positive	0	0
E4$Geoalkalibacter	E4	Hp-positive	0	0
E4$Geobacillus	E4	Hp-positive	0.058605445	0
E4$Geobacter	E4	Hp-positive	0	0.094617958
E4$Geomicrobium	E4	Hp-positive	0	0
E4$Georgenia	E4	Hp-positive	0	0
E4$Geosporobacter	E4	Hp-positive	0	0
E4$Geovibrio	E4	Hp-positive	0	0
E4$Gilliamella	E4	Hp-positive	0	0.052469959
E4$Gillisia	E4	Hp-positive	0	0
E4$Gimesia	E4	Hp-positive	0	0.016343102
E4$Glaciecola	E4	Hp-positive	0	0
E4$Glaciimonas	E4	Hp-positive	0	0.012902449
E4$Glaesserella	E4	Hp-positive	0	0.163431019
E4$Globicatella	E4	Hp-positive	0	0
E4$Gloeocapsa_sp._PCC_7428	E4	Hp-positive	0	0.018923592
E4$Gloeothece_citriformis	E4	Hp-positive	0	0
E4$Gloeothece_verrucosa	E4	Hp-positive	0	0
E4$Glycocaulis	E4	Hp-positive	0	0.028385388
E4$Gordonia	E4	Hp-positive	0	0
E4$Gottschalkia	E4	Hp-positive	0	0
E4$Gracilibacillus	E4	Hp-positive	0	0
E4$Gramella	E4	Hp-positive	0	0
E4$Granulibacter	E4	Hp-positive	0	0.894569789
E4$Granulicatella	E4	Hp-positive	0	0
E4$Granulicella	E4	Hp-positive	0	0
E4$Grimontia	E4	Hp-positive	0	0.012902449
E4$GWE2-31-10	E4	Hp-positive	0	0
E4$Haematobacter	E4	Hp-positive	0	0
E4$Haemophilus	E4	Hp-positive	3.206737078	0.202998529
E4$Hafnia	E4	Hp-positive	0	0
E4$Halanaerobium	E4	Hp-positive	0	0
E4$Halarcobacter	E4	Hp-positive	0	0.012902449
E4$Haliangium	E4	Hp-positive	0	0
E4$Haliscomenobacter	E4	Hp-positive	0	0.012902449
E4$Halobacillus	E4	Hp-positive	0	0
E4$Halobacteriovorax	E4	Hp-positive	0	0.024084571
E4$Halobacteroides	E4	Hp-positive	0	0
E4$Halocella	E4	Hp-positive	0	0
E4$Halodurantibacterium	E4	Hp-positive	0	0
E4$Halomonas	E4	Hp-positive	0	0.098058612
E4$Halotalea	E4	Hp-positive	0	0
E4$Halothermothrix	E4	Hp-positive	0	0
E4$Hathewaya	E4	Hp-positive	0	0
E4$Helcococcus	E4	Hp-positive	0	0
E4$Helicobacter	E4	Hp-positive	78.12742862	71.84169555
E4$Herbaspirillum	E4	Hp-positive	0	0.011182122
E4$Herbinix	E4	Hp-positive	0	0
E4$Heyndrickxia	E4	Hp-positive	0	0
E4$Hippea	E4	Hp-positive	0	0
E4$Hirschia	E4	Hp-positive	0	0
E4$Histophilus	E4	Hp-positive	0	0
E4$Holdemanella	E4	Hp-positive	0	0
E4$Humibacter	E4	Hp-positive	0	0
E4$Humisphaera	E4	Hp-positive	0	0
E4$Hungatella	E4	Hp-positive	0	0
E4$Hydrocarboniphaga	E4	Hp-positive	0	0
E4$Hydrogenispora	E4	Hp-positive	0	0
E4$Hydrogenobacter	E4	Hp-positive	0	0
E4$Hydrogenobaculum	E4	Hp-positive	0	0
E4$Hydrogenophaga	E4	Hp-positive	0	0
E4$Hydrogenophilus	E4	Hp-positive	0.021658534	0
E4$Hydrogenovibrio	E4	Hp-positive	0	0
E4$Hymenobacter	E4	Hp-positive	0	0.049029306
E4$Hypericibacter	E4	Hp-positive	0	0
E4$Hyphobacterium	E4	Hp-positive	0	0
E4$Hyphomicrobium	E4	Hp-positive	0	0
E4$Iamia	E4	Hp-positive	0	0
E4$Ichthyobacterium	E4	Hp-positive	0	0
E4$Idiomarina	E4	Hp-positive	0	0
E4$Ignavibacterium	E4	Hp-positive	0	0
E4$IheB3-7	E4	Hp-positive	0	0
E4$Ilyobacter	E4	Hp-positive	0	0
E4$Incertae_Sedis	E4	Hp-positive	0	0
E4$Intestinibaculum	E4	Hp-positive	0	0
E4$Intestinimonas	E4	Hp-positive	0	0
E4$Iodobacter	E4	Hp-positive	0	0
E4$Isosphaera	E4	Hp-positive	0	0.008601633
E4$Izimaplasma	E4	Hp-positive	0	0
E4$Janibacter	E4	Hp-positive	0	0
E4$Janthinobacterium	E4	Hp-positive	0	0
E4$Jeotgalibaca	E4	Hp-positive	0	0
E4$Jeotgalibacillus	E4	Hp-positive	0	0
E4$Jeotgalicoccus	E4	Hp-positive	0	0
E4$JGI_0001001-H03	E4	Hp-positive	0	0
E4$Jiangella	E4	Hp-positive	0	0.016343102
E4$Johnsonella	E4	Hp-positive	0	0
E4$Kaistella	E4	Hp-positive	0	0
E4$Kangiella	E4	Hp-positive	0	0
E4$Keratinibaculum	E4	Hp-positive	0	0.023224408
E4$Kibdelosporangium	E4	Hp-positive	0	0
E4$Kingella	E4	Hp-positive	0	0.009461796
E4$Kinneretia	E4	Hp-positive	0	0.3113791
E4$Kiritimatiella	E4	Hp-positive	0	0
E4$Kitasatospora	E4	Hp-positive	0	0
E4$Klebsiella	E4	Hp-positive	0	0.895429953
E4$Kluyvera	E4	Hp-positive	0	0
E4$Kocuria	E4	Hp-positive	0	0
E4$Koleobacter	E4	Hp-positive	0	0
E4$Komagataeibacter	E4	Hp-positive	0	0
E4$Kordia	E4	Hp-positive	0	0
E4$Kosakonia	E4	Hp-positive	0	0
E4$Ktedonosporobacter	E4	Hp-positive	0	0
E4$Kurthia	E4	Hp-positive	0	0
E4$Kushneria	E4	Hp-positive	0	0
E4$Kutzneria	E4	Hp-positive	0	0.064512244
E4$Labilibaculum	E4	Hp-positive	0	0
E4$Labilithrix	E4	Hp-positive	0	0
E4$Labrenzia	E4	Hp-positive	0	0
E4$Labrys	E4	Hp-positive	0	0.093757795
E4$Lachnoanaerobaculum	E4	Hp-positive	0.020384503	0.009461796
E4$Lachnoclostridium	E4	Hp-positive	0	0.010321959
E4$Lachnospira	E4	Hp-positive	0	0
E4$Lachnospiraceae_FCS020_group	E4	Hp-positive	0	0
E4$Lachnospiraceae_FE2018_group	E4	Hp-positive	0	0
E4$Lachnospiraceae_ND3007_group	E4	Hp-positive	0	0
E4$Lachnospiraceae_NK3A20_group	E4	Hp-positive	0	0
E4$Lachnospiraceae_NK4A136_group	E4	Hp-positive	0	0
E4$Lachnospiraceae_UCG-001	E4	Hp-positive	0	0
E4$Lachnospiraceae_UCG-004	E4	Hp-positive	0	0
E4$Lachnospiraceae_UCG-006	E4	Hp-positive	0	0
E4$Lachnospiraceae_UCG-008	E4	Hp-positive	0	0
E4$Lachnospiraceae_UCG-010	E4	Hp-positive	0	0
E4$Lacinutrix	E4	Hp-positive	0	0
E4$Lacrimispora	E4	Hp-positive	0	0
E4$Lacticaseibacillus	E4	Hp-positive	0	0
E4$Lactiplantibacillus	E4	Hp-positive	0	0
E4$Lactobacillus	E4	Hp-positive	0.574588169	0.049029306
E4$Lactococcus	E4	Hp-positive	0.022932566	0.083435836
E4$Lactovum	E4	Hp-positive	0	0
E4$Latilactobacillus	E4	Hp-positive	0	0.024084571
E4$Lautropia	E4	Hp-positive	0	0
E4$Lawsonella	E4	Hp-positive	0	0
E4$Lawsonia	E4	Hp-positive	0	0
E4$Leclercia	E4	Hp-positive	0	0
E4$Lederbergia	E4	Hp-positive	0	0
E4$Leeuwenhoekiella	E4	Hp-positive	0	0
E4$Legionella	E4	Hp-positive	0	0.813714443
E4$Leifsonia	E4	Hp-positive	0	0
E4$Lelliottia	E4	Hp-positive	0	0.013762612
E4$Lentibacillus	E4	Hp-positive	0	0
E4$Lentilactobacillus	E4	Hp-positive	0	0
E4$Lentimicrobium	E4	Hp-positive	0	0
E4$Lentzea	E4	Hp-positive	0	0
E4$Leptolyngbya_boryana	E4	Hp-positive	0	0
E4$Leptolyngbya_sp._15MV	E4	Hp-positive	0	0.012902449
E4$Leptolyngbya_sp._7M	E4	Hp-positive	0	0.048169143
E4$Leptospira	E4	Hp-positive	0	0.012902449
E4$Leptotrichia	E4	Hp-positive	0.036946911	0.014622775
E4$Leucobacter	E4	Hp-positive	0	0
E4$Leuconostoc	E4	Hp-positive	0	0
E4$Levilactobacillus	E4	Hp-positive	0	0
E4$Libanicoccus	E4	Hp-positive	0	0
E4$Liberibacter	E4	Hp-positive	0	0
E4$Lichenicola	E4	Hp-positive	0	0.024084571
E4$Ligilactobacillus	E4	Hp-positive	0	0
E4$Lignipirellula	E4	Hp-positive	0	0
E4$Limibaculum	E4	Hp-positive	0	0
E4$Limnobaculum	E4	Hp-positive	0	0
E4$Limnoglobus	E4	Hp-positive	0	0
E4$Limnohabitans	E4	Hp-positive	0	0
E4$Limosilactobacillus	E4	Hp-positive	0	0.136765958
E4$Liquorilactobacillus	E4	Hp-positive	0	0
E4$Listeria	E4	Hp-positive	0	0.012042286
E4$Loigolactobacillus	E4	Hp-positive	0	0
E4$Lonepinella	E4	Hp-positive	0	0
E4$Longicatena	E4	Hp-positive	0	0
E4$Luteibacter	E4	Hp-positive	0	0.013762612
E4$Luteimonas	E4	Hp-positive	0	0
E4$Luteithermobacter	E4	Hp-positive	0	0.017203265
E4$Luteolibacter	E4	Hp-positive	0	0
E4$Lutibacter	E4	Hp-positive	0	0
E4$Lysinibacillus	E4	Hp-positive	0	0
E4$Lysobacter	E4	Hp-positive	0	0.010321959
E4$Macellibacteroides	E4	Hp-positive	0	0
E4$Macrococcus	E4	Hp-positive	0	0
E4$Mahella	E4	Hp-positive	0	0
E4$Malaciobacter	E4	Hp-positive	0	0
E4$Mameliella	E4	Hp-positive	0	0.153969223
E4$Mammaliicoccus	E4	Hp-positive	0	0.012042286
E4$Mangrovivirga	E4	Hp-positive	0	0.012042286
E4$Mannheimia	E4	Hp-positive	0	0
E4$Maribacter	E4	Hp-positive	0	0.009461796
E4$Maribellus	E4	Hp-positive	0	0
E4$Marinicauda	E4	Hp-positive	0	0
E4$Marinifilum	E4	Hp-positive	0	0
E4$Mariniflexile	E4	Hp-positive	0	0
E4$Marinilactibacillus	E4	Hp-positive	0	0
E4$Marinobacter	E4	Hp-positive	0	0
E4$Marinomonas	E4	Hp-positive	0	0.011182122
E4$Marivirga	E4	Hp-positive	0	0
E4$Marmoricola	E4	Hp-positive	0	0
E4$Marvinbryantia	E4	Hp-positive	0	0
E4$Massilia	E4	Hp-positive	0	0.030965877
E4$Mediterraneibacter	E4	Hp-positive	0	0.017203265
E4$Megamonas	E4	Hp-positive	0	0
E4$Megasphaera	E4	Hp-positive	0	0
E4$Meiothermus	E4	Hp-positive	0	0.011182122
E4$Melioribacter	E4	Hp-positive	0	0
E4$Melissococcus	E4	Hp-positive	0	0
E4$Mesobacillus	E4	Hp-positive	0	0
E4$Mesoplasma	E4	Hp-positive	0	0
E4$Mesorhizobium	E4	Hp-positive	0	0.03956751
E4$Metabacillus	E4	Hp-positive	0	0
E4$Methylacidiphilum	E4	Hp-positive	0	0.023224408
E4$Methylibium_sp._Pch-M	E4	Hp-positive	0	0
E4$Methylobacterium	E4	Hp-positive	0	0
E4$Methylobacterium-Methylorubrum	E4	Hp-positive	0	0
E4$Methylococcus	E4	Hp-positive	0	0
E4$Methyloligella	E4	Hp-positive	0	0
E4$Methylomicrobium	E4	Hp-positive	0	0
E4$Methylomusa	E4	Hp-positive	0	0
E4$Methyloprofundus	E4	Hp-positive	0	0
E4$Methylorubrum	E4	Hp-positive	0	0
E4$Methyloversatilis	E4	Hp-positive	0	0
E4$Microbacterium	E4	Hp-positive	0	0
E4$Microbulbifer	E4	Hp-positive	0	0.037847183
E4$Microcella	E4	Hp-positive	0	0
E4$Microchaete_diplosiphon	E4	Hp-positive	0	0
E4$Micrococcus	E4	Hp-positive	0	0.067092734
E4$Microcoleus_sp._PCC_7113	E4	Hp-positive	0	0
E4$Microcystis_aeruginosa	E4	Hp-positive	0	0.014622775
E4$Microlunatus	E4	Hp-positive	0	0
E4$Micromonospora	E4	Hp-positive	0	0.013762612
E4$Microterricola	E4	Hp-positive	0	0
E4$Microvirga	E4	Hp-positive	0	0
E4$Miltoncostaea	E4	Hp-positive	0	0
E4$Minicystis_rosea	E4	Hp-positive	0	0
E4$Mitsuaria	E4	Hp-positive	0	0
E4$Mitsuaria_sp._7	E4	Hp-positive	0	0
E4$Mixta	E4	Hp-positive	0	0
E4$MND1	E4	Hp-positive	0	0
E4$Mogibacterium	E4	Hp-positive	0.042043037	0
E4$Monoglobus	E4	Hp-positive	0	0
E4$Moorea_producens	E4	Hp-positive	0	0.012042286
E4$Moraxella	E4	Hp-positive	0	0.035266694
E4$Morganella	E4	Hp-positive	0	0
E4$Moritella	E4	Hp-positive	0	0.009461796
E4$Mucilaginibacter	E4	Hp-positive	0	0.057630938
E4$Mucispirillum	E4	Hp-positive	0	0
E4$Muribaculum	E4	Hp-positive	0	0
E4$Muricauda	E4	Hp-positive	0	0
E4$Mycobacterium	E4	Hp-positive	0.02675466	0.052469959
E4$Mycobacteroides	E4	Hp-positive	0	0
E4$Mycolicibacillus	E4	Hp-positive	0	0
E4$Mycolicibacter	E4	Hp-positive	0	0.012902449
E4$Mycolicibacterium	E4	Hp-positive	0	0.026665061
E4$Mycoplasma	E4	Hp-positive	0	0.009461796
E4$Mycoplasmopsis	E4	Hp-positive	0	0
E4$Myroides	E4	Hp-positive	0	0
E4$Myxococcus	E4	Hp-positive	0	0
E4$Natranaerobius	E4	Hp-positive	0	0
E4$Natronoglycomyces	E4	Hp-positive	0	0.008601633
E4$Nautilia	E4	Hp-positive	0	0
E4$Ndongobacter	E4	Hp-positive	0	0
E4$Negativicoccus	E4	Hp-positive	0	0
E4$Neisseria	E4	Hp-positive	0.321055917	0.016343102
E4$Neobacillus	E4	Hp-positive	0	0
E4$Neochlamydia	E4	Hp-positive	0	0
E4$Neorhizobium	E4	Hp-positive	0	0
E4$Neptunomonas	E4	Hp-positive	0	0
E4$Niabella	E4	Hp-positive	0	0
E4$Niallia	E4	Hp-positive	0	0
E4$Niastella	E4	Hp-positive	0	0.012042286
E4$Nibribacter	E4	Hp-positive	0	0
E4$Nitratifractor	E4	Hp-positive	0	0
E4$Nitrosomonas	E4	Hp-positive	0	0.024944735
E4$Nitrosophilus	E4	Hp-positive	0	0
E4$Niveispirillum	E4	Hp-positive	0	0
E4$NK4A214_group	E4	Hp-positive	0	0
E4$Nocardia	E4	Hp-positive	0	0
E4$Nocardioides	E4	Hp-positive	0	0
E4$Nocardiopsis	E4	Hp-positive	0	0
E4$Nodularia_spumigena	E4	Hp-positive	0	0
E4$Nonlabens	E4	Hp-positive	0	0
E4$Nonomuraea	E4	Hp-positive	0	0
E4$Nosocomiicoccus	E4	Hp-positive	0	0
E4$Nostoc_edaphicum	E4	Hp-positive	0	0
E4$Nostoc_flagelliforme	E4	Hp-positive	0	0.023224408
E4$Nostoc_linckia	E4	Hp-positive	0	0
E4$Nostoc_PCC-7524	E4	Hp-positive	0	0
E4$Nostoc_punctiforme	E4	Hp-positive	0	0
E4$Nostoc_sp._ATCC_53789	E4	Hp-positive	0	0
E4$Nostoc_sp._C052	E4	Hp-positive	0	0
E4$Nostoc_sp._CENA543	E4	Hp-positive	0	0.083435836
E4$Nostoc_sp._'Lobaria_pulmonaria_(5183)_cyanobiont'	E4	Hp-positive	0	0
E4$Nostoc_sp._NIES-3756	E4	Hp-positive	0	0.198697713
E4$Nostoc_sp._NIES-4103	E4	Hp-positive	0	0.010321959
E4$Nostoc_sp._PCC_7107	E4	Hp-positive	0	0.012042286
E4$Nostoc_sp._PCC_7524	E4	Hp-positive	0	0
E4$Nostoc_sp._'Peltigera_membranacea_cyanobiont'_N6	E4	Hp-positive	0	0.009461796
E4$Nostoc_sp._TCL26-01	E4	Hp-positive	0	0
E4$Nostoc_sp._UHCC_0702	E4	Hp-positive	0	0
E4$Nostoc_sphaeroides	E4	Hp-positive	0	0
E4$Novosphingobium	E4	Hp-positive	0	0
E4$Novosphingopyxis	E4	Hp-positive	0	0
E4$Oceanicola	E4	Hp-positive	0	0
E4$Oceanihabitans	E4	Hp-positive	0	0
E4$Oceanisphaera	E4	Hp-positive	0	0
E4$Oceanivirga	E4	Hp-positive	0	0
E4$Oceanobacillus	E4	Hp-positive	0	0.025804898
E4$Ochrobactrum	E4	Hp-positive	0	0
E4$Octadecabacter	E4	Hp-positive	0	0.009461796
E4$Odoribacter	E4	Hp-positive	0	0
E4$Oenococcus	E4	Hp-positive	0	0
E4$Oleiphilus	E4	Hp-positive	0	0
E4$Olivibacter	E4	Hp-positive	0	0
E4$Olleya	E4	Hp-positive	0	0
E4$Olsenella	E4	Hp-positive	0	0
E4$OM27_clade	E4	Hp-positive	0	0
E4$Oribacterium	E4	Hp-positive	0	0
E4$Orientia	E4	Hp-positive	0	0
E4$Ornithinibacillus	E4	Hp-positive	0	0
E4$Ornithinimicrobium	E4	Hp-positive	0	0
E4$Ornithobacterium	E4	Hp-positive	0	0.017203265
E4$Orrella	E4	Hp-positive	0	0
E4$Oscillatoria_acuminata	E4	Hp-positive	0	0
E4$Oscillatoria_nigro-viridis	E4	Hp-positive	0	0
E4$Oscillibacter	E4	Hp-positive	0	0
E4$Oscillospira	E4	Hp-positive	0	0
E4$Otariodibacter	E4	Hp-positive	0.076441885	0
E4$Ottowia	E4	Hp-positive	0	0
E4$Oxobacter	E4	Hp-positive	0	0
E4$Oxynema_sp._AP17	E4	Hp-positive	0	0
E4$Paenibacillus	E4	Hp-positive	0	0.123863509
E4$Paeniclostridium	E4	Hp-positive	0	0.017203265
E4$Paenisporosarcina	E4	Hp-positive	0	0
E4$Paludibacter	E4	Hp-positive	0	0
E4$Paludibacterium	E4	Hp-positive	0	0
E4$Paludisphaera	E4	Hp-positive	0	0
E4$Panacibacter	E4	Hp-positive	0	0
E4$Pandoraea	E4	Hp-positive	0	0.013762612
E4$Pannonibacter	E4	Hp-positive	0	0
E4$Pantoea	E4	Hp-positive	0	0
E4$Parabacteroides	E4	Hp-positive	0	0
E4$Paraburkholderia	E4	Hp-positive	0	0.017203265
E4$Paraclostridium	E4	Hp-positive	0	0
E4$Paracoccus	E4	Hp-positive	0	0.047308979
E4$Paraflavitalea	E4	Hp-positive	0	0
E4$Parageobacillus	E4	Hp-positive	0	0
E4$Paraglaciecola	E4	Hp-positive	0	0
E4$Paraliobacillus	E4	Hp-positive	0	0
E4$Paraoceanicella	E4	Hp-positive	0	0
E4$Paraphotobacterium	E4	Hp-positive	0	0
E4$Paraprevotella	E4	Hp-positive	0	0
E4$Parashewanella	E4	Hp-positive	0	0
E4$Parasutterella	E4	Hp-positive	0	0
E4$Parvimonas	E4	Hp-positive	0.015288377	0
E4$Pasteurella	E4	Hp-positive	0.036946911	0.123003346
E4$Patulibacter	E4	Hp-positive	0	0
E4$Paucilactobacillus	E4	Hp-positive	0	0.010321959
E4$Pectinatus	E4	Hp-positive	0	0
E4$Pectobacterium	E4	Hp-positive	0	0.012042286
E4$Pediococcus	E4	Hp-positive	0	0.030105714
E4$Pedobacter	E4	Hp-positive	0	0.015482939
E4$Pedomicrobium	E4	Hp-positive	0	0
E4$Pelobacter	E4	Hp-positive	0	0.029245551
E4$Pelolinea	E4	Hp-positive	0	0
E4$Pelosinus	E4	Hp-positive	0	0
E4$Peptacetobacter	E4	Hp-positive	0	0
E4$Peptoclostridium	E4	Hp-positive	0	0
E4$Peptococcus	E4	Hp-positive	0	0
E4$Peptoniphilus	E4	Hp-positive	0	0
E4$Peptostreptococcus	E4	Hp-positive	0.012740314	0
E4$Peribacillus	E4	Hp-positive	0	0
E4$Persephonella	E4	Hp-positive	0	0
E4$Persicimonas	E4	Hp-positive	0	0
E4$Petrocella	E4	Hp-positive	0	0
E4$Petrotoga	E4	Hp-positive	0	0
E4$Phaeobacter	E4	Hp-positive	0	0.024944735
E4$Phascolarctobacterium	E4	Hp-positive	0	0
E4$Phenylobacterium	E4	Hp-positive	0	0
E4$Phnomibacter	E4	Hp-positive	0	0
E4$Phocaeicola	E4	Hp-positive	0	0.024944735
E4$Phocoenobacter	E4	Hp-positive	0.047139162	0
E4$Phormidium	E4	Hp-positive	0	0
E4$Photobacterium	E4	Hp-positive	0	0.010321959
E4$Photorhabdus	E4	Hp-positive	0	0
E4$Phreatobacter	E4	Hp-positive	0.01783644	0
E4$Phyllobacterium	E4	Hp-positive	0	0
E4$Phytobacter	E4	Hp-positive	0	0.011182122
E4$Phytohabitans	E4	Hp-positive	0	0
E4$Pir4_lineage	E4	Hp-positive	0	0
E4$Pirellula	E4	Hp-positive	0	0
E4$Pirellulimonas	E4	Hp-positive	0	0
E4$Piscirickettsia	E4	Hp-positive	0	0
E4$Planktothrix_rubescens	E4	Hp-positive	0	0
E4$Planococcus	E4	Hp-positive	0	0
E4$Planomicrobium	E4	Hp-positive	0	0
E4$Plantactinospora	E4	Hp-positive	0	0
E4$Plesiomonas	E4	Hp-positive	0	0
E4$Plesiomonas_shigelloides	E4	Hp-positive	0	0
E4$Pleurocapsa_sp._PCC_7327	E4	Hp-positive	0	0
E4$Pluralibacter	E4	Hp-positive	0	0
E4$Polaribacter	E4	Hp-positive	0	0.03698702
E4$Polaromonas	E4	Hp-positive	0	0
E4$Polycladomyces	E4	Hp-positive	0	0
E4$Polymorphobacter	E4	Hp-positive	0	0
E4$Polymorphospora	E4	Hp-positive	0	0
E4$Polynucleobacter	E4	Hp-positive	0	0.618457383
E4$Pontibacillus	E4	Hp-positive	0	0
E4$Pontibacter	E4	Hp-positive	0	0
E4$Pontivivens	E4	Hp-positive	0	0
E4$Porphyromonas	E4	Hp-positive	1.044705762	0.024084571
E4$Poseidonibacter	E4	Hp-positive	0	0
E4$Pradoshia	E4	Hp-positive	0	0
E4$Pragia	E4	Hp-positive	0	0
E4$Prevotella	E4	Hp-positive	6.663184314	0.341484814
E4$Prevotellaceae_Ga6A1_group	E4	Hp-positive	0	0
E4$Prevotellaceae_NK3B31_group	E4	Hp-positive	0	0
E4$Prevotellaceae_UCG-001	E4	Hp-positive	0	0
E4$Prevotellaceae_UCG-003	E4	Hp-positive	0	0
E4$Prevotellaceae_UCG-004	E4	Hp-positive	0	0
E4$Priestia	E4	Hp-positive	0	0.032686204
E4$Prochlorococcus_marinus	E4	Hp-positive	0	0.220201794
E4$Prochlorococcus_sp._MIT_0801	E4	Hp-positive	0	0
E4$Propionibacterium	E4	Hp-positive	0	0
E4$Propionivibrio	E4	Hp-positive	0	0
E4$Prosthecochloris	E4	Hp-positive	0	0
E4$Protaetiibacter	E4	Hp-positive	0	0.035266694
E4$Proteiniclasticum	E4	Hp-positive	0	0
E4$Proteiniphilum	E4	Hp-positive	0	0
E4$Proteus	E4	Hp-positive	0	0.033546367
E4$Providencia	E4	Hp-positive	0	0.035266694
E4$Pseudaminobacter	E4	Hp-positive	0	0
E4$Pseudanabaena_sp._ABRG5-3	E4	Hp-positive	0	0
E4$Pseudanabaena_sp._PCC_7367	E4	Hp-positive	0	0
E4$Pseudoalteromonas	E4	Hp-positive	0	0.066232571
E4$Pseudoarcobacter	E4	Hp-positive	0	0
E4$Pseudobacter	E4	Hp-positive	0	0
E4$Pseudobutyrivibrio	E4	Hp-positive	0	0
E4$Pseudoclostridium	E4	Hp-positive	0	0
E4$Pseudocnuella	E4	Hp-positive	0	0
E4$Pseudogracilibacillus	E4	Hp-positive	0	0
E4$Pseudoleptotrichia	E4	Hp-positive	0	0
E4$Pseudolysobacter	E4	Hp-positive	0	0
E4$Pseudomonas	E4	Hp-positive	0	0.451585711
E4$Pseudonocardia	E4	Hp-positive	0.078989948	0.023224408
E4$Pseudopedobacter	E4	Hp-positive	0	0
E4$Pseudorhodobacter	E4	Hp-positive	0	0
E4$Pseudorhodoplanes	E4	Hp-positive	0	0
E4$Pseudoxanthomonas	E4	Hp-positive	0	0
E4$Psychrobacillus	E4	Hp-positive	0	0.008601633
E4$Psychrobacter	E4	Hp-positive	0	0.010321959
E4$Psychroflexus	E4	Hp-positive	0	0
E4$Psychroglaciecola	E4	Hp-positive	0	0
E4$Psychromonas	E4	Hp-positive	0	0
E4$Psychroserpens	E4	Hp-positive	0	0
E4$Psychrosphaera	E4	Hp-positive	0	0
E4$Pyxidicoccus	E4	Hp-positive	0	0
E4$Quinella	E4	Hp-positive	0	0
E4$Radiobacillus	E4	Hp-positive	0	0
E4$Rahnella1	E4	Hp-positive	0	0
E4$Ralstonia	E4	Hp-positive	0.040769005	0.175473305
E4$Ramlibacter	E4	Hp-positive	0	0
E4$Rathayibacter	E4	Hp-positive	0	0
E4$Rheinheimera	E4	Hp-positive	0	0
E4$Rhizobacter	E4	Hp-positive	0	0
E4$Rhizobacter_gummiphilus	E4	Hp-positive	0	0
E4$Rhizobacter_sp._AJA081-3	E4	Hp-positive	0	0
E4$Rhizobium	E4	Hp-positive	0	0.043868326
E4$Rhizorhapis	E4	Hp-positive	0	0
E4$Rhodanobacter	E4	Hp-positive	0	0
E4$Rhodobaca	E4	Hp-positive	0	0
E4$Rhodobacter	E4	Hp-positive	0	0
E4$Rhodococcus	E4	Hp-positive	0	0.030965877
E4$Rhodocytophaga	E4	Hp-positive	0	0
E4$Rhodoferax	E4	Hp-positive	0	0.023224408
E4$Rhodoplanes	E4	Hp-positive	0	0
E4$Rhodopseudomonas	E4	Hp-positive	0	0.028385388
E4$Rhodovulum	E4	Hp-positive	0	0
E4$Richelia_sinica	E4	Hp-positive	0	0
E4$Rickettsia	E4	Hp-positive	0	0
E4$Rickettsiella	E4	Hp-positive	0	0.009461796
E4$Riemerella	E4	Hp-positive	0	0
E4$Rikenellaceae_RC9_gut_group	E4	Hp-positive	0	0
E4$Rippkaea_orientalis	E4	Hp-positive	0	0
E4$Rivularia_sp._PCC_7116	E4	Hp-positive	0	0
E4$Rodentibacter	E4	Hp-positive	0.016562408	0
E4$Romboutsia	E4	Hp-positive	0	0.021504081
E4$Roseburia	E4	Hp-positive	0	0
E4$Roseibacterium	E4	Hp-positive	0	0
E4$Roseiflexus	E4	Hp-positive	0	0
E4$Roseimaritima	E4	Hp-positive	0	0.018923592
E4$Roseimicrobium	E4	Hp-positive	0	0.027525224
E4$Roseivivax	E4	Hp-positive	0	0.022364245
E4$Roseobacter	E4	Hp-positive	0	0
E4$Roseomonas	E4	Hp-positive	0	0
E4$Roseovarius	E4	Hp-positive	0	0.008601633
E4$Rossellomorea	E4	Hp-positive	0	0.015482939
E4$Rothia	E4	Hp-positive	0	0
E4$Rubellimicrobium	E4	Hp-positive	0.016562408	0
E4$Rubripirellula	E4	Hp-positive	0	0
E4$Rubrivivax_gelatinosus	E4	Hp-positive	0	0.012902449
E4$Rubrobacter	E4	Hp-positive	0	0
E4$Ruegeria	E4	Hp-positive	0	0
E4$Rufibacter	E4	Hp-positive	0	0
E4$Ruminiclostridium	E4	Hp-positive	0	0
